,paper_title
0,A Motion Aftereffect From Still Photographs Depicting Motion
1,A Word-Order Constraint on Phonological Activation
2,Adaptive Memory: The Comparative Value of Survival Processing
3,Age-Related Changes in the Episodic Simulation of Future Events
4,Auditory Change Detection: Simple Sounds Are Not Memorized Better Than Complex Sounds
5,Conflict-Triggered Goal Shielding: Response Conflicts Attenuate Background Monitoring for Prospective Memory Cues
6,"Creating Social Connection Through Inferential Reproduction: Loneliness and Perceived Agency in Gadgets, Gods, and Greyhounds"
7,Detecting the Snake in the Grass: Attention to Fear-Relevant Stimuli by Adults and Young Children
8,"Effects of Fluency on Psychological Distance and Mental Construal (or Why New York Is a Large City, but <i>New York</i> Is a Civilized Jungle)"
9,Errors Are Aversive: Defensive Motivation and the Error-Related Negativity
10,Extremal Edge: A Powerful Cue to Depth Perception and Figure-Ground Organization
11,"Head Up, Foot Down: Object Words Orient Attention to the Objects' Typical Location"
12,Hedonic and Instrumental Motives in Anger Regulation
13,Implicit Attitude Generalization Occurs Immediately; Explicit Attitude Generalization Takes Time
14,"Is Happiness Having What You Want, Wanting What You Have, or Both?"
15,Keeping One's Distance: The Influence of Spatial Distance Cues on Affect and Evaluation
16,More Than Meets the Eye: The Role of Language in Binding and Maintaining Feature Conjunctions
17,Nonconscious Goal Pursuit in Novel Environments: The Case of Implicit Learning
18,Perceptual Mechanisms That Characterize Gender Differences in Decoding Women's Sexual Intent
19,Personality Dominance and Preferential Use of the Vertical Dimension of Space: Evidence From Spatial Attention Paradigms
20,Precision of the Anchor Influences the Amount of Adjustment
21,Preschoolers' Perspective Taking in Word Learning: Do They Blindly Follow Eye Gaze?
22,Sensitivity to Object Viewpoint and Action Instructions During Search for Targets in the Lower Visual Field
23,"Temporal Selection is Suppressed, Delayed, and Diffused During the Attentional Blink"
24,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk
25,The Representation of Simple Ensemble Visual Features Outside the Focus of Attention
26,The Sunny Side of Fairness: Preference for Fairness Activates Reward Circuitry (and Disregarding Unfairness Activates Self-Control Circuitry)
27,The Threat of Appearing Prejudiced and Race-Based Attentional Biases
28,The Value of Believing in Free Will: Encouraging a Belief in Determinism Increases Cheating
29,"Toward a Physiology of Dual-Process Reasoning and Judgment: Lemonade, Willpower, and Expensive Rule-Based Analysis"
30,What Do Cross-National Comparisons of Personality Traits Tell Us?: The Case of Conscientiousness
31,With a Clean Conscience: Cleanliness Reduces the Severity of Moral Judgments
32,“In-Group Love” and “Out-Group Hate” as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm
