,paper_title
0,"""In-Group Love"" and ""Out-Group Hate"" as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm"
1,"""Walking on Eggshells"": How Expressing Relationship Insecurities Perpetuates Them"
2,1/f Noise and Effort on Implicit Measures of Bias
3,A Motion Aftereffect From Still Photographs Depicting Motion
4,A Needs-Based Model of Reconciliation: Satisfying the Differential Emotional Needs of Victim and Perpetrator as a Key to Promoting Reconciliation
5,"A Single-System Account of the Relationship Between Priming, Recognition, and Fluency"
6,A Social Functional Approach to Emotions in Bargaining: When Communicating Anger Pays and When It Backfires
7,A Word-Order Constraint on Phonological Activation
8,Accelerated Relearning After Retrieval-Induced Forgetting: The Benefit of Being Forgotten
9,Accounting for Occurrences: A New View of the Use of Contingency Information in Causal Judgment
10,Across-notation Automatic Numerical Processing
11,Adaptive Memory: The Comparative Value of Survival Processing
12,Affective Incoherence: When Affective Concepts and Embodied Reactions Clash
13,Age-Related Changes in the Episodic Simulation of Future Events
14,An Attention-Based Associative Account of Adjacent and Nonadjacent Dependency Learning
15,Attractor Dynamics and Semantic Neighborhood Density: Processing Is Slowed by Near Neighbors and Speeded by Distant Neighbors
16,Auditory Change Detection: Simple Sounds Are Not Memorized Better Than Complex Sounds
17,Balancing connectedness and self-protection goals in close relationships: a levels-of-processing perspective on risk regulation
18,Bidirectional Associations in Multiplication Memory: Conditions of Negative and Positive Transfer
19,Conflict-Triggered Goal Shielding: Response Conflicts Attenuate Background Monitoring for Prospective Memory Cues
20,Contextual Effects on Reading Aloud: Evidence for Pathway Control
21,"Creating Social Connection Through Inferential Reproduction: Loneliness and Perceived Agency in Gadgets, Gods, and Greyhounds"
22,Decision Making and Learning While Taking Sequential Risks
23,Detecting the Snake in the Grass: Attention to Fear-Relevant Stimuli by Adults and Young Children
24,Distinguishing Between Silent and Vocal Minorities: Not All Deviants Feel Marginal
25,Dynamics of Self-Regulation: How (Un)accomplished Goal Actions Affect Motivation
26,"Effects of Fluency on Psychological Distance and Mental Construal (or Why New York Is a Large City, but <i>New York</i> Is a Civilized Jungle)"
27,Errors Are Aversive: Defensive Motivation and the Error-Related Negativity
28,Extremal Edge: A Powerful Cue to Depth Perception and Figure-Ground Organization
29,"Head Up, Foot Down: Object Words Orient Attention to the Objects' Typical Location"
30,Hedonic and Instrumental Motives in Anger Regulation
31,How Does Bilingualism Improve Executive Control? A Comparison of Active and Reactive Inhibition Mechanisms
32,How the Head Liberates the Heart: Projection of Communal Responsiveness Guides Relationship Promotion
33,How to Say No: Single- And Dual-Process Theories of Short-Term Recognition Tested on Negative Probes
34,Implicit Attitude Generalization Occurs Immediately; Explicit Attitude Generalization Takes Time
35,Increasing and Decreasing Motor and Cognitive Output: A Model of General Action and Inaction Goals
36,Individual Differences in the Regulation of Intergroup Bias: The Role of Conflict Monitoring and Neural Signals for Control
37,"Intentional Forgetting Is Easier After Two ""Shots"" Than One"
38,"Is Happiness Having What You Want, Wanting What You Have, or Both?"
39,Keeping One's Distance: The Influence of Spatial Distance Cues on Affect and Evaluation
40,Learning Correct Responses and Errors in the Hebb Repetition Effect: Two Faces of the Same Coin
41,Left Frontal Cortical Activation and Spreading of Alternatives: Tests of the Action-Based Model of Dissonance
42,Modeling Distributions of Immediate Memory Effects: No Strategies Needed?
43,More Than Meets the Eye: The Role of Language in Binding and Maintaining Feature Conjunctions
44,Multidimensional Visual Statistical Learning
45,Multiple Roles for Time in Short-Term Memory: Evidence From Serial Recall of Order and Timing
46,Nonconscious Goal Pursuit in Novel Environments: The Case of Implicit Learning
47,Not So Innocent: Does Seeing One's Own Capacity for Wrongdoing Predict Forgiveness?
48,"Now You See It, Now You Don't: Repetition Blindness for Nonwords"
49,On the Additive Effects of Stimulus Quality and Word Frequency in Lexical Decision: Evidence for Opposing Interactive Influences Revealed by RT Distributional Analyses
50,On the Relative Independence of Thinking Biases and Cognitive Ability
51,Opening the Mind to Close It: Considering a Message in Light of Important Values Increases Message Processing and Later Resistance to Change
52,Orienting Attention in Visual Working Memory Reduces Interference From Memory Probes
53,Perceptual Mechanisms That Characterize Gender Differences in Decoding Women's Sexual Intent
54,Personality Dominance and Preferential Use of the Vertical Dimension of Space: Evidence From Spatial Attention Paradigms
55,Poignancy: Mixed Emotional Experience in the Face of Meaningful Endings
56,Precision of the Anchor Influences the Amount of Adjustment
57,Preschoolers' Perspective Taking in Word Learning: Do They Blindly Follow Eye Gaze?
58,Priming Addition Facts With Semantic Relations
59,Selective exposure and information quantity: how different information quantities moderate decision makers' preference for consistent and inconsistent information
60,"Self-handicapping, excuse making, and counterfactual thinking: consequences for self-esteem and future motivation"
61,Self-regulation and selective exposure: the impact of depleted self-regulation resources on confirmatory information processing
